label,video,signer_id,repetition_id,hand_confidence,frames,active_start,active_end,old_active_left_rate,old_active_right_rate,new_active_left_rate,new_active_right_rate,old_best_hand_rate,new_best_hand_rate,improvement_points,feature_shape,processing_seconds,landmarks_path,preview_path,status,error
After,After_01_1.mov,01,1,0.25,110,17,82,19.7,0.0,19.7,0.0,19.7,19.7,0.0,"(110, 1629)",8.59,C:\SignBridge_Project\data\processed\landmarks_retry_025\After\After_01_1.npy,C:\SignBridge_Project\data\processed\hand_retry_previews\After_01_1_retry.mp4,success,
After,After_01_2.mov,01,2,0.25,133,0,132,6.77,0.0,6.77,0.0,6.77,6.77,0.0,"(133, 1629)",9.67,C:\SignBridge_Project\data\processed\landmarks_retry_025\After\After_01_2.npy,C:\SignBridge_Project\data\processed\hand_retry_previews\After_01_2_retry.mp4,success,
Full,Full_01_1.MOV,01,1,0.25,90,12,73,25.81,16.13,25.81,16.13,25.81,25.81,0.0,"(90, 1629)",7.23,C:\SignBridge_Project\data\processed\landmarks_retry_025\Full\Full_01_1.npy,C:\SignBridge_Project\data\processed\hand_retry_previews\Full_01_1_retry.mp4,success,
Transaction,Transaction_06_1.mov,06,1,0.25,73,0,63,21.88,0.0,21.88,0.0,21.88,21.88,0.0,"(73, 1629)",6.24,C:\SignBridge_Project\data\processed\landmarks_retry_025\Transaction\Transaction_06_1.npy,C:\SignBridge_Project\data\processed\hand_retry_previews\Transaction_06_1_retry.mp4,success,
Next,Next_01_1.MOV,01,1,0.25,107,15,99,24.71,0.0,24.71,0.0,24.71,24.71,0.0,"(107, 1629)",8.24,C:\SignBridge_Project\data\processed\landmarks_retry_025\Next\Next_01_1.npy,C:\SignBridge_Project\data\processed\hand_retry_previews\Next_01_1_retry.mp4,success,
Before,Before_01_1.mov,01,1,0.25,117,26,92,34.33,0.0,34.33,0.0,34.33,34.33,0.0,"(117, 1629)",10.06,C:\SignBridge_Project\data\processed\landmarks_retry_025\Before\Before_01_1.npy,C:\SignBridge_Project\data\processed\hand_retry_previews\Before_01_1_retry.mp4,success,
